"","plotID","d15N","d13C","nitrogenPercent","carbonPercent","CNratio"
"270","DSNY_067",-0.666666666666667,-14.8333333333333,0.396666666666667,48.26,124.633333333333
"271","DSNY_068",1.36666666666667,-14.8333333333333,0.406666666666667,49.2466666666667,121.766666666667
"272","DSNY_069",0.3,-22.075,0.4425,46.3225,113.6
"273","DSNY_070",-0.425,-17.875,0.6525,47.9125,84.475
"274","GRSM_047",-0.671428571428571,-28.8714285714286,0.738571428571429,45.6785714285714,70.4142857142857
"275","GRSM_048",-0.233333333333333,-28.6,0.78,50.7933333333333,70.4
"276","GRSM_049",-0.55,-28.6,0.738333333333333,48.655,74.5333333333333
"277","GRSM_050",-1.06666666666667,-28.8333333333333,1.05666666666667,47.4866666666667,52.1833333333333
"278","GRSM_051",-1.25714285714286,-28.9428571428571,0.942857142857143,44.8642857142857,60.7857142857143
"279","GRSM_052",-0.916666666666667,-28.5666666666667,0.653333333333333,46.3933333333333,88.9166666666667
"280","GRSM_053",0.471428571428571,-28.6428571428571,1.15571428571429,45.59,45.4142857142857
"281","GRSM_054",-0.666666666666667,-28.4333333333333,0.821666666666667,46.595,66.0166666666667
"282","GRSM_055",-0.0333333333333333,-28.9666666666667,0.96,46.475,57.3666666666667
"283","GRSM_056",-0.842857142857143,-28.1142857142857,0.865714285714286,43.7557142857143,64.2428571428571
"284","GRSM_057",1.4,-28.8,1.165,47.3833333333333,49.1833333333333
"285","GRSM_058",-0.414285714285714,-27.9142857142857,1.46285714285714,44.0857142857143,32.7285714285714
"286","GRSM_059",-2.4,-28.8333333333333,0.603333333333333,49.845,90.5666666666667
"287","GRSM_060",-1.66666666666667,-28.2833333333333,0.785,46.6966666666667,71.8333333333333
"288","GRSM_061",-2.08571428571429,-28.4428571428571,0.741428571428571,49.1828571428571,72.1428571428571
"289","GRSM_062",-0.985714285714286,-28.5857142857143,0.665714285714286,48.6171428571429,89.1857142857143
"290","GRSM_063",0.333333333333333,-28.3166666666667,1.12666666666667,48.22,50.3833333333333
"291","GRSM_064",-1.78333333333333,-28.5833333333333,0.96,48.6533333333333,57.6
"292","GRSM_065",-1.83333333333333,-29.2833333333333,0.9,47.0433333333333,60.1166666666667
"293","GRSM_066",0.514285714285714,-29.1285714285714,1.07,44.0957142857143,49.6285714285714
